designator,quantity,value,pack,mpn,mount_type
C1,1,6.3V 1000uF,C_Radial_D6.3mm_H11.0mm_P2.50mm,,tht
"C2, C3, C4, C5, KC1, KC10, KC11, KC12, KC13, KC14, KC15, KC16, KC17, KC2, KC3, KC4, KC5, KC6, KC7, KC8, KC9",21,104,C_Disc_D4.7mm_W2.5mm_P5.00mm,,tht
"D1, KD1, KD10, KD11, KD12, KD13, KD14, KD15, KD16, KD17, KD2, KD3, KD4, KD5, KD6, KD7, KD8, KD9",18,1N4148,Diode_DO-35,,tht
"HOLE1, HOLE2, HOLE3, HOLE4",4,,MountingHole_2.2mm_M2_Pad_Via,,tht
"KSW1, KSW10, KSW11, KSW12, KSW13, KSW14, KSW15, KSW16, KSW17, KSW2, KSW3, KSW4, KSW5, KSW6, KSW7, KSW8, KSW9",17,Kailh MX Switch Sockets,MX,,tht
"LED1, LED2, LED3, LED4",4,SK6812mini-e,"led_SK6812mini-e (per-key, single-side)",,tht
"LED_10-row3-col2, LED_11-row2-col3, LED_12-row2-col2, LED_13-row2-col1, LED_14-row2-col0, LED_15-row1-col0, LED_16-row1-col1, LED_17-row1-col2, LED_18-row0-col3, LED_19-row0-col2, LED_20-row0-col0, LED_4-row3-col3, LED_5-row4-col2, LED_6-row4-col1, LED_7-row4-col0, LED_8-row3-col0, LED_9-row3-col1",17,SK6812mini-e,led_SK6812mini-e,,tht
LOGO1,1,,ergogen_logo,,tht
"LOGO2, ROC1",2,,travis,,tht
MCU1,1,Arduino Pro Micro,Arduino_Pro_Micro,,tht
OLED1,1,OLED,OLED_headers,,tht
R1,1,470R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,tht
ROT1,1,EC11,ec11,,tht
"STAB2u1, STAB2u2, STAB2u3",3,Stabilizer_MX_2.00u,Stabilizer_MX_2.00u,,tht
