Designator,Mid X,Mid Y,Layer,Rotation
C10,84.45,-177.39,bottom,180
C11,84.45,-137.29,bottom,180
C12,45.675,-192.64,bottom,0
C13,35.65,-152.54,bottom,0
C14,35.65,-112.44,bottom,0
C15,55.7,-152.54,bottom,0
C16,55.7,-112.44,bottom,0
C17,75.75,-192.64,bottom,0
C18,75.75,-152.54,bottom,0
C19,75.75,-112.44,bottom,0
C2,44.35,-105.8875,bottom,180
C20,92.79,-194.325,bottom,270
C21,92.79,-154.225,bottom,270
C22,95.8,-112.44,bottom,0
C3,64.4,-105.8875,bottom,180
C4,84.45,-105.8875,bottom,180
C5,104.5,-105.8875,bottom,180
C6,44.35,-177.39,bottom,180
C7,44.35,-137.29,bottom,180
C8,64.4,-177.39,bottom,180
C9,64.4,-137.29,bottom,180
D1,41.6,-206.125,bottom,90
D10,71.675,-206.125,bottom,90
D11,71.675,-186.075,bottom,90
D12,71.675,-166.025,bottom,90
D13,71.675,-145.975,bottom,90
D14,71.675,-125.925,bottom,90
D15,106.275,-198.4,bottom,0
D16,106.275,-158.3,bottom,0
D17,91.725,-125.925,bottom,90
D18,94.425,-99.0625,bottom,180
D2,31.575,-186.075,bottom,90
D3,31.575,-166.025,bottom,90
D4,31.575,-145.975,bottom,90
D5,31.575,-125.925,bottom,90
D6,51.625,-186.075,bottom,90
D7,51.625,-166.025,bottom,90
D8,51.625,-145.975,bottom,90
D9,51.625,-125.925,bottom,90
LED_0,40,-103.4875,bottom,180
LED_1,60.05,-103.4875,bottom,180
LED_10,80.1,-134.89,bottom,180
LED_11,95.19,-149.875,bottom,270
LED_12,80.1,-154.94,bottom,0
LED_13,60.05,-154.94,bottom,0
LED_14,40,-154.94,bottom,0
LED_15,40,-174.99,bottom,180
LED_16,60.05,-174.99,bottom,180
LED_17,80.1,-174.99,bottom,180
LED_18,95.19,-189.975,bottom,270
LED_19,80.1,-195.04,bottom,0
LED_2,80.1,-103.4875,bottom,180
LED_20,50.025,-195.04,bottom,0
LED_3,100.15,-103.4875,bottom,180
LED_4,100.15,-114.84,bottom,0
LED_5,80.1,-114.84,bottom,0
LED_6,60.05,-114.84,bottom,0
LED_7,40,-114.84,bottom,0
LED_8,40,-134.89,bottom,180
LED_9,60.05,-134.89,bottom,180
S1,50.6465,-202.29305,bottom,180
S10,80.7215,-202.29305,bottom,180
S11,80.7215,-182.24305,bottom,180
S12,80.7215,-162.19305,bottom,180
S13,80.7215,-142.14305,bottom,180
S14,80.7215,-122.09305,bottom,180
S15,102.44305,-189.3535,bottom,270
S16,102.44305,-149.2535,bottom,270
S17,100.7715,-122.09305,bottom,180
S2,40.6215,-182.24305,bottom,180
S3,40.6215,-162.19305,bottom,180
S4,40.6215,-142.14305,bottom,180
S5,40.6215,-122.09305,bottom,180
S6,60.6715,-182.24305,bottom,180
S7,60.6715,-162.19305,bottom,180
S8,60.6715,-142.14305,bottom,180
S9,60.6715,-122.09305,bottom,180
